X,Y,OBJECTID,NAME,ADDRESS,CITY,ZIP,UPDATE_DATE,STATUS
11822474.9997963,6914111.99976705,5559,GOOD SHEPHERD UNITED METHODIST CHURCH,14999 BIRCHDALE AVENUE,DALE CITY,22193,2019/07/26 20:03:31+00,1
11819143.4785132,6913514.81295049,5560,LUTHERAN CHURCH OF THE COVENANT,15008 CLOVERDALE ROAD,DALE CITY,22191,2021/08/25 21:05:43+00,1
11794310.4788101,6913003.99976602,5561,RIVER OF GRACE LUTHERAN CHURCH,15012 DUMFRIES ROAD,MANASSAS,20112,2021/08/25 21:06:00+00,1
11837629.9996185,6910214.49960342,5562,MARSH ROAD BAPTIST CHURCH,1514 OLD MARSH ROAD,WOODBRIDGE,22191,2019/07/26 20:03:31+00,1
11821075.999731,6909441.0002107,5563,CROSSROADS PRESBYTERIAN CHURCH,15557 CARDINAL DRIVE,DALE CITY,22193,2021/07/28 19:03:04+00,1
11829478.0003789,6908073.99963343,5564,GOOD SHEPHERD LUTHERAN CHURCH,15695 BLACKBURN ROAD,WOODBRIDGE,22191,2019/07/26 20:03:31+00,1
11825498.8336552,6906221.6038557,5565,CALVARY BAPTIST CHURCH,15890 CREST DRIVE,WOODBRIDGE,22191,2021/08/25 21:06:17+00,1
11811930.6255145,6904569.72980617,5566,MONTCLAIR TABERNACLE CHURCH OF GOD,16120 DUMFRIES ROAD,DUMFRIES,22025,2021/08/25 21:06:44+00,1
11837421.7085463,6903185.52090888,5567,FAITH LIBERTY BAPTIST CHURCH,16248 NEABSCO ROAD,DALE CITY,22191,2021/08/25 21:07:06+00,1
11815738.0001101,6900195.9994981,5568,FIRST MOUNT ZION BAPTIST CHURCH,16622 DUMFRIES ROAD,DUMFRIES,22026,2019/07/26 20:03:31+00,1
11812213.0001708,6896240.00000641,5569,LITTLE UNION BAPTIST CHURCH,17150 MINE ROAD,DUMFRIES,22026,2019/07/26 20:03:31+00,1
11813557.414124,6894001.87827632,5570,IGLESIA ALFA Y OMEGA,17505 BATESTOWN ROAD,DUMFRIES,22026,2021/08/25 21:07:32+00,1
11817731.8128479,6892398.49984284,5571,DUMFRIES UNITED METHODIST CHURCH,3890 CAMERON STREET,DUMFRIES,22026,2021/08/25 21:08:29+00,1
11817257.0001755,6890569.49939314,5572,WORD PERFORMANCE CHURCH,17902 MAIN STREET,DUMFRIES,22026,2019/07/26 20:03:31+00,1
11819070.0001132,6887694.00012645,5573,CONCORDIA LUTHERAN CHURCH,3637 GRAHAM PARK ROAD,TRIANGLE,22172,2019/07/26 20:03:31+00,1
11814703.9997251,6887381.49964616,5574,TRIANGLE BAPTIST CHURCH,4345 INN STREET,TRIANGLE,22172,2019/07/26 20:03:31+00,1
